item,itemLabel,startDate,endDate
Q6174806,Óscar González Rodríguez,2003-09-01,2006-08-31
,José Luis Bárcena Trejo,2003-09-01,2006-08-31
Q5726069,Benjamín Gallegos Soto,2003-09-01,2006-08-31
,Francisco Crescencio Rodríguez García,2003-09-01,2006-08-31
Q5859689,Fernando Gómez Esparza,2003-09-01,2006-08-31
,Enrique Gazca Hernández,2003-09-01,2006-08-31
,Guillermo González Martínez,2003-09-01,2006-08-31
Q6109951,Roberto Pérez de Alva,2003-09-01,2006-08-31
,José Luis García Cortés,2003-09-01,2006-08-31
Q19771827,Luz Argelia Paniagua,2003-09-01,2006-08-31
,José Ricardo Fernández Candia,2003-09-01,2006-08-31
,Eloy López Martínez,2003-09-01,2006-08-31
,Alberto Curi Naime,2003-09-01,2006-08-31
Q20639337,Francisco Vera González,2003-09-01,2006-08-31
,Rosa Colín Lira,2003-09-01,2006-08-31
,Manuel González Espinoza,2003-09-01,2006-08-31
,Jorge Tomás Esparza Carlo,2003-09-01,2006-08-31
,Jorge León Díaz,2003-09-01,2006-08-31
,Francisco Javier Reynoso Nuño,2003-09-01,2006-08-31
,Luis David Gálvez Gasca,2003-09-01,2006-08-31
,Hydée García Acedo,2003-09-01,2006-08-31
Q106515215,Jesús González Reyes,2003-09-01,2006-08-31
,Raquel Cortés López,2003-09-01,2006-08-31
,Primitivo Ortega Olays,2003-09-01,2006-08-31
,José Carlos Cota Osuna,2003-09-01,2006-08-31
,Antonio Cabello Sánchez,2003-09-01,2006-08-31
Q5698907,Antonio Manríquez Guluarte,2003-09-01,2006-08-31
,Sergio Cruz Aquino,2003-09-01,2006-08-31
,Olga Medina Serrano,2003-09-01,2006-08-31
,Ramón Félix Santini Pech,2003-09-01,2006-08-31
,Francisco Guevara Alvarado,2003-09-01,2006-08-31
Q5702183,Aracely Escalante Jasso,2003-09-01,2006-08-31
,Alejandro Alarcón Estrada,2003-09-01,2006-08-31
,Enrique González Isunza,2003-09-01,2006-08-31
,Arquímides León Ovando,2003-09-01,2006-08-31
,Cecilia López Rodríguez,2003-09-01,2006-08-31
,Francisco Javier Martínez Zorrilla,2003-09-01,2006-08-31
,Guillermo Santín Castañeda,2003-09-01,2006-08-31
,Norberto Sántiz López,2003-09-01,2006-08-31
,Guadalupe Sánchez Martínez,2003-09-01,2006-08-31
,Mario Elías Moreno Navarro,2003-09-01,2006-08-31
,Julieta Gallardo Mora,2003-09-01,2006-08-31
,Gilberto Velasco Rodríguez,2003-09-01,2006-08-31
,Jaime Castro López,2003-09-01,2006-08-31
,Agustín Santiago Albores,2003-09-01,2006-08-31
Q5942901,Roberto Albores Guillén,2003-09-01,2006-08-31
,Abraham González Negrete,2003-09-01,2006-08-31
,Juan Óscar Trinidad Palacios,2003-09-01,2006-08-31
,Santiago Padilla Arriaga,2003-09-01,2006-08-31
,Juan Carlos Gómez Aranda,2003-09-01,2006-08-31
,María de los Ángeles Gaytán Contreras,2003-09-01,2006-08-31
Q5751070,Carlos Morales Vázquez,2003-09-01,2006-08-31
,Gonzalo Augusto de la Cruz,2003-09-01,2006-08-31
Q18216384,Manuel Hernández Gómez,2003-09-01,2006-08-31
,Juan Antonio Prats García,2003-09-01,2006-08-31
Q5703388,Arely Madrid Tovilla,2003-09-01,2006-08-31
Q5833073,Enrique Bautista Villegas,2003-09-01,2006-08-31
,Ranulfo Tonche Pacheco,2003-09-01,2006-08-31
,Jesús Samuel Maldonado Bautista,2003-09-01,2006-08-31
,Rubén Rivera Merino,2003-09-01,2006-08-31
Q6176160,Jeffrey Jones Jones,2003-09-01,2006-08-31
,Mariano Sánchez Farías,2003-09-01,2006-08-31
,Adalberto Balderrama,2003-09-01,2006-08-31
Q1938773,Lázaro Cárdenas Batel,2003-09-01,2006-08-31
Q5829442,Eliher Flores Prieto,2003-09-01,2006-08-31
Q5699901,Antonio Soto Sánchez,2003-09-01,2006-08-31
Q5749928,Carlos Camacho Alcázar,2003-09-01,2006-08-31
,Juan Jaramillo Fricas,2003-09-01,2006-08-31
,Alfonso Sandoval Camuñas,2003-09-01,2006-08-31
,Ignacio Arrieta Aragón,2003-09-01,2006-08-31
,Anastasio Solís Lezo,2003-09-01,2006-08-31
,Xóchitl Reyes Castro,2003-09-01,2006-08-31
Q3369164,Patricio Martínez García,2003-09-01,2006-08-31
,Gerardo Ramírez Vidal,2003-09-01,2006-08-31
,Odórico Vázquez Bernal,2003-09-01,2006-08-31
,Jesús Flores Carrasco,2003-09-01,2006-08-31
,Francisco Martínez Ortega,2003-09-01,2006-08-31
,Marco Antonio Fernández,2003-09-01,2006-08-31
,Jesús José Villalobos Sáenz,2003-09-01,2006-08-31
,Salvador Sánchez Vázquez,2003-09-01,2006-08-31
,Francisco García Castells,2003-09-01,2006-08-31
Q6015772,Miguel Ángel Navarro Quintero,2003-09-01,2006-08-31
,José Villarreal Navarro,2003-09-01,2006-08-31
Q5927812,Javier Guerrero García,2003-09-01,2006-08-31
,Trinidad Escobedo Aguilar,2003-09-01,2006-08-31
,Martha Laura Carranza Aguayo,2003-09-01,2006-08-31
,Victoriano Guajardo Guajardo,2003-09-01,2006-08-31
,Horacio Veloz Muñoz,2003-09-01,2006-08-31
,Baldemar Tudón Martírez,2003-09-01,2006-08-31
Q5733412,Braulio Manuel Fernández Aguirre,2003-09-01,2006-08-31
,Pablo Gutiérrez Jiménez,2003-09-01,2006-08-31
,Alberto González Domene,2003-09-01,2006-08-31
