item,itemLabel,startDate,endDate,psid
Q100233863,Javier Lamarque Cano,2018-09-01,2021-08-31,Q100233863-B4A9679E-A4FF-40CE-AAE2-65C69E7191EA
Q100366494,Abelina López Rodríguez,2018-09-01,2021-08-31,Q100366494-8AFDFA2E-E1D4-4390-95D9-083867A2D788
Q101427603,Adriana Espinosa De los Monteros,2018-09-01,2021-08-31,Q101427603-1C9DFEF0-D6D9-41FA-A7BC-4D62CEAFB6CA
Q102198648,Miguel Prado de los Santos,2018-09-01,2021-08-31,Q102198648-813C1073-CC05-429C-AA8B-971CA4ED9EE6
Q102974155,María Roselia Jiménez Pérez,2018-09-01,2021-08-31,Q102974155-5713356E-11EE-4FB1-8C96-42F5E87785A2
Q104022648,Rubén Terán Águila,2018-09-01,2021-08-31,Q104022648-73ED30E3-C091-47BA-96F1-7CCCDE771C8B
Q104389005,Delfino López Aparicio,2018-09-01,2021-08-31,Q104389005-AD504334-5B86-4165-8490-BBFC0BEDFEA4
Q104530849,Lizeth Guerra Méndez,2018-09-01,2021-08-31,Q104530849-32F81961-2147-45B8-A4D8-E589D5AEA9A2
Q104696777,Claudia Yáñez Centeno,2018-09-01,2021-08-31,Q104696777-43EF1591-9AED-40FC-93A0-BBBD697F10DF
Q105100776,Fabiola Loya Hernández,2018-09-01,2021-08-31,Q105100776-082F328E-540D-4FCA-9491-135ADF26B7F8
Q105607084,Higinio Del Toro Pérez,2018-09-01,2021-08-31,Q105607084-CABC05E2-01B7-4ED8-8EA7-000ADBA64A54
Q105902317,Hirepan Maya Martínez,2018-09-01,2021-08-31,Q105902317-43843363-88D8-402C-95CD-5FDF394CB077
Q106152519,Mildred Ávila Vera,2018-09-01,2021-08-31,Q106152519-EBF60277-0785-4A2B-9BBA-2360498720C4
Q106430171,Lizbeth Mata Lozano,2018-09-01,2021-08-31,Q106430171-9A4F944B-6F93-4591-B3B4-391910AAADC8
Q106466706,Martha Garay Cadena,2018-09-01,2021-08-31,Q106466706-B99712FF-7269-4432-BA80-490076ADC48D
Q106482699,Rocío Villarauz Martínez,2018-09-01,2021-08-31,Q106482699-C9A70D58-C445-4EE8-B091-91AEC3DCB570
Q106504750,Carmen Almeida Navarro,2018-09-01,2021-08-31,Q106504750-F440D609-D70D-414B-ABEA-C6262338A785
Q106564661,Raquel Bonilla Herrera,2018-09-01,2021-08-31,Q106564661-4E64BA91-E9AD-4EC5-B280-A817DC7B358E
Q106570297,Mary Carmen Bernal Martínez,2018-09-01,2021-08-31,Q106570297-6568893E-A482-42A5-BFD3-5A27C3FB9FD8
Q106588769,Saúl Huerta Corona,2018-09-01,2021-08-31,Q106588769-2729D926-8D56-4009-AC25-F1A05E89E18C
Q106734335,Roberto Rubio Montejo,2018-09-01,2021-08-31,Q106734335-BC94E6BE-EDE8-4D3A-9F23-72ECC91EA9E1
Q106866630,Olga Patricia Sosa Ruiz,2018-09-01,2021-08-31,Q106866630-3CE70750-B645-4284-8A44-61FDD010B948
Q107159571,Luis Mendoza Acevedo,2018-09-01,2021-08-31,Q107159571-4DD705F6-0884-4260-8A59-254B96BDA878
Q107283364,Erasmo González Robledo,2018-09-01,2021-08-31,Q107283364-095A8C63-1522-4B86-A978-F3FF59B286A0
Q107292345,Juan Francisco Espinoza Eguia,2018-09-01,2021-08-31,Q107292345-7880CE32-8A80-40C5-94BA-015D4BED70E7
Q107365691,Cecilia Patrón Laviada,2018-09-01,2021-08-31,Q107365691-AEC8F9BF-0DC8-4F3E-83EA-2B584514A968
Q107610414,Michel González Márquez,2018-09-01,2021-08-31,Q107610414-5115E9AC-834D-4EEF-94D3-469ED8A4F0CC
Q107718553,Rubén Cayetano García,2018-09-01,2021-08-31,Q107718553-573761D7-08C3-45DB-8820-C0553D9C8261
Q107877832,María Teresa Marú Mejía,2018-09-01,2021-08-31,Q107877832-ED65F95C-2764-439B-AA3D-62A4991E63BD
